Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ
49,0.2523862,0.8380575,0.535296,-0.5198,0.05355245,longPress,3,-1,0.03588086,1.157705,-0.01519585,0.05908607,0.1171932,-0.06486318
49,0.251995,0.8382799,0.5353613,-1.540938,0.0227337,longPress,3,-1,0.03584363,1.157778,-0.01560593,0.05853472,0.1170391,-0.06477116
49,0.2525861,0.839427,0.5348406,2.342073,0.06957517,longPress,1,14,0.0357646,1.157821,-0.01588678,0.05852671,0.1170096,-0.06497321
49,0.2528016,0.8401192,0.534359,-1.302746,0.04352025,longPress,1,14,0.03568262,1.157899,-0.01649094,0.05809389,0.1171911,-0.06510716
49,0.254135,0.8419745,0.5328202,4.710482,0.1377299,longPress,1,14,0.03562546,1.157932,-0.01695251,0.05781571,0.1172505,-0.06504126
49,0.2537447,0.8432755,0.5319457,-2.847844,0.080773,longPress,1,14,0.03557916,1.157941,-0.01769876,0.057248,0.117864,-0.06509652
49,0.254557,0.8453605,0.5307932,2.253812,0.1258492,longPress,1,14,0.03555247,1.158034,-0.01807499,0.05701812,0.1182142,-0.06512041
49,0.25435,0.8460926,0.5303364,-4.073781,0.04437363,longPress,1,14,0.03546738,1.158213,-0.0184269,0.05660446,0.1184283,-0.0648791
49,0.2541647,0.846773,0.5299287,-0.1824452,0.04072472,longPress,1,14,0.03519694,1.158532,-0.01896715,0.0552486,0.1181802,-0.06466613
49,0.2540076,0.8493205,0.5291586,4.628883,0.1333024,longPress,1,14,0.03500188,1.158626,-0.01926994,0.05472231,0.1181401,-0.06466214
49,0.2546186,0.8491766,0.5292401,-5.082456,0.03165326,longPress,1,14,0.03466914,1.158699,-0.0199914,0.05409293,0.1176792,-0.06406614
49,0.2536842,0.8495471,0.5289454,1.036206,0.05237738,longPress,1,14,0.03441693,1.15886,-0.02036905,0.05383283,0.1174061,-0.06367695
49,0.2535456,0.8496463,0.5287991,-2.057242,0.01123253,longPress,1,14,0.03391594,1.159138,-0.02096748,0.05242281,0.1169047,-0.06361697
49,0.2521998,0.8517941,0.5279303,6.136807,0.1339687,longPress,1,14,0.03363407,1.159271,-0.02124023,0.05171034,0.1166809,-0.06364413
49,0.2510091,0.8517594,0.5280743,-3.698762,0.05999343,longPress,1,14,0.03345015,1.1594,-0.02153587,0.05128921,0.1162867,-0.06342012
49,0.2503774,0.8524855,0.5276823,-0.4017705,0.05195802,longPress,1,14,0.03288563,1.159696,-0.02215195,0.05018978,0.115324,-0.06282413
49,0.2495732,0.8537957,0.5273695,1.324135,0.07844072,longPress,1,14,0.03262841,1.159786,-0.02246046,0.0495651,0.1149323,-0.06282011
49,0.24867,0.8540637,0.5274754,-1.551976,0.0474012,longPress,1,14,0.03214251,1.160042,-0.02308512,0.04881272,0.1145113,-0.06270117
49,0.24773,0.8547161,0.5277929,0.598627,0.05937374,longPress,1,14,0.03195982,1.160161,-0.02334595,0.04845526,0.1143353,-0.06250355
49,0.2476982,0.8545408,0.5278363,-2.510291,0.009167926,longPress,1,14,0.03156235,1.160538,-0.02377176,0.0472151,0.1148295,-0.06233101
49,0.2460185,0.8545619,0.5277863,3.743135,0.08403064,longPress,1,14,0.03149127,1.160697,-0.02393436,0.0462821,0.1151055,-0.06215215
49,0.2460083,0.8550194,0.527422,-2.739309,0.02924445,longPress,1,14,0.0310987,1.160865,-0.02433586,0.04512618,0.1156966,-0.06168748
49,0.2454434,0.8540574,0.5273094,1.340783,0.05606011,longPress,1,14,0.03090472,1.160939,-0.02453041,0.0448873,0.115701,-0.06154764
49,0.2460589,0.8539696,0.527318,-1.24864,0.03108732,longPress,1,14,0.03065731,1.161049,-0.02469349,0.04462436,0.1156926,-0.0612815
49,0.2465079,0.8538821,0.5273271,-0.4104401,0.02287852,longPress,1,14,0.03024394,1.161266,-0.02487659,0.04377737,0.1153054,-0.06115652
