Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ
1,0.2526404,1.09878,0.5368757,-6.811395,0,pinch,1,0,0.07481477,1.136654,0.06062841,-0.06575219,0.1634294,-0.000547208
1,0.2483404,1.100264,0.5316181,17.38035,0.3476071,pinch,1,0,0.07530838,1.136807,0.06200409,-0.06499914,0.1635112,0.000115047
1,0.2500683,1.097867,0.5386057,1.585947,0.379326,pinch,1,0,0.0757364,1.136746,0.06343269,-0.06386629,0.1637513,-0.000746066
1,0.2517897,1.09869,0.5404205,-12.38319,0.1316622,pinch,1,0,0.07660998,1.137048,0.06643438,-0.06173358,0.1641598,-0.001746553
1,0.2527573,1.099125,0.5417871,-2.258156,0.08649912,pinch,1,0,0.07722052,1.137176,0.06899405,-0.05978556,0.1643677,-0.002744717
1,0.2544249,1.099648,0.5437975,2.334772,0.1331946,pinch,1,0,0.07756394,1.137331,0.07027769,-0.05932834,0.1643098,-0.002753081
1,0.2544646,1.099296,0.5443354,-5.049433,0.0322059,pinch,1,0,0.07814126,1.137491,0.07253313,-0.05948059,0.1644976,-0.002301266
1,0.2540964,1.098046,0.5419445,5.196639,0.1361387,pinch,1,0,0.07814126,1.137491,0.07253313,-0.05948059,0.1644976,-0.002301266
1,0.2540964,1.098046,0.5419445,-6.806934,0,pinch,1,0,0.07820854,1.137428,0.07522678,-0.05916954,0.1653665,-0.003860044
1,0.257669,1.102438,0.5398736,15.07024,0.3014047,pinch,1,0,0.07843051,1.137595,0.07617664,-0.05957967,0.1653662,-0.003750277
1,0.2589739,1.103123,0.5395422,-11.29392,0.07552636,pinch,1,0,0.07861012,1.137864,0.07700491,-0.06015578,0.1654568,-0.002988724
1,0.2594734,1.104261,0.5391021,-0.480552,0.06591532,pinch,1,0,0.07866421,1.137877,0.07769823,-0.06038124,0.1656612,-0.002306801
1,0.2599233,1.105316,0.5388622,-0.3653258,0.05860881,pinch,1,0,0.07845702,1.137654,0.07879877,-0.05975274,0.1667363,-0.00352732
1,0.2600368,1.108132,0.5361996,6.761993,0.1938487,pinch,1,0,0.07846301,1.137763,0.07968092,-0.05902414,0.168015,-0.003927676
1,0.2588682,1.108047,0.5346351,-4.805923,0.09773022,pinch,1,0,0.07852838,1.137908,0.08007336,-0.05906165,0.1685289,-0.003093513
1,0.2588782,1.108087,0.5343475,-4.160424,0.01452174,pinch,1,0,0.07853728,1.138,0.08038282,-0.05911423,0.1692871,-0.002119065
1,0.2589106,1.108117,0.5339389,0.3015276,0.02055229,pinch,1,0,0.07831213,1.137892,0.08100271,-0.05847988,0.1713735,-0.002472156
1,0.2566211,1.106759,0.5292654,12.41846,0.2689215,pinch,1,0,0.07829912,1.137738,0.08119535,-0.05816606,0.1722066,-0.002862899
1,0.2558902,1.107467,0.527369,-8.066132,0.1075988,pinch,1,0,0.07806016,1.137827,0.08148336,-0.05793497,0.1739659,-0.002252812
1,0.2553909,1.106811,0.5265169,-2.416829,0.05926226,pinch,1,0,0.07804761,1.137839,0.08187294,-0.05826731,0.1746328,-0.001687234
1,0.2553468,1.106834,0.5267978,-2.250101,0.01426024,pinch,1,0,0.07793891,1.137913,0.08191681,-0.05847479,0.1750532,-0.001424867
2,0.2524582,1.10104,0.5235043,17.44564,0.3631731,pinch,1,0,0.0737202,1.137586,0.08131552,-0.05468144,0.1717516,0.002912465
2,0.2510405,1.097842,0.5199604,-5.708595,0.2490012,pinch,1,0,0.0737202,1.137586,0.08131552,-0.05468144,0.1717516,0.002912465
2,0.2510405,1.097842,0.5199604,-12.45006,0,pinch,4,-1,0.0737202,1.137586,0.08131552,-0.05468144,0.1717516,0.002912465
2,0.2510405,1.097842,0.5199604,0,0,pinch,4,-1,0.0737202,1.137586,0.08131552,-0.05468144,0.1717516,0.002912465
2,0.2510405,1.097842,0.5199604,0,0,pinch,4,-1,0.0737202,1.137586,0.08131552,-0.05468144,0.1717516,0.002912465
