Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
11435,77,45.24,FastTapIn,3.799997,0.2574176,-9.233604, ,0
11621,78,49.94,FastTapIn,3.699997,0.1762356,5.227435, ,0
11622,78,49.96,FastTapIn,3.719997,0.106312,-3.496179, ,0
11623,78,49.98,FastTapIn,3.739997,0.2382448,6.596642, ,0
11624,78,50.0,FastTapIn,3.759997,0.1445073,-4.68688, ,0
11625,78,50.02,FastTapIn,3.779997,0.150275,0.2883889, ,0
11804,79,54.52,FastTapIn,3.559997,0.2712836,9.950561, ,0
11983,80,58.96,FastTapIn,3.559997,0.2146342,6.661116, ,0
11984,80,58.98,FastTapIn,3.579997,0.165076,-2.477911, ,0
11985,80,59.0,FastTapIn,3.599997,0.2479574,4.144071, ,0
12185,83,65.16,FastTapIn,3.559997,0.1970183,8.182599, ,0
12186,83,65.18,FastTapIn,3.579997,0.1830629,-0.6977662, ,0
12187,83,65.2,FastTapIn,3.599997,0.4001359,10.85365, ,0
12188,83,65.22,FastTapIn,3.619997,0.2692867,-6.542459, ,0
12370,84,69.74,FastTapIn,3.619997,0.404257,13.85689, ,0
12371,84,69.76,FastTapIn,3.639997,0.2502505,-7.700327, ,0
12549,85,74.28,FastTapIn,3.539997,0.1902486,8.24315, ,0
12550,85,74.3,FastTapIn,3.559997,0.1514388,-1.940487, ,0
12551,85,74.32,FastTapIn,3.579997,0.3480858,9.832348, ,0
12552,85,74.34,FastTapIn,3.599997,0.1916013,-7.824224, ,0
12790,88,80.86,FastTapIn,3.819997,0.1328495,5.762038, ,0
12791,88,80.88,FastTapIn,3.839997,0.1017362,-1.555664, ,0
12792,88,80.9,FastTapIn,3.859997,0.1362086,1.723619, ,0
12793,88,80.92,FastTapIn,3.879997,0.3949367,12.9364, ,0
12972,89,8.98,FastTapIn,3.559997,0.254405,8.592254, ,0
12973,89,9.0,FastTapIn,3.579997,0.3024711,2.403304, ,0
12974,89,9.02,FastTapIn,3.599997,0.392607,4.506795, ,0
13147,90,13.66,FastTapIn,3.439997,0.5104722,19.97141, ,0
13148,90,13.68,FastTapIn,3.459997,0.5223621,0.5944908, ,0
13320,91,17.88,FastTapIn,3.419997,0.8709569,35.98452, ,0
13321,91,17.9,FastTapIn,3.439997,0.7972721,-3.684238, ,0
13491,92,22.04,FastTapIn,3.379997,0.3143131,13.19478, ,0
13492,92,22.06,FastTapIn,3.399997,0.4276212,5.665402, ,0
13493,92,22.08,FastTapIn,3.419997,1.162109,36.72439, ,0
13665,93,26.22,FastTapIn,3.419997,0.651266,26.50441, ,0
13666,93,26.24,FastTapIn,3.439997,0.462717,-9.427454, ,0
13836,94,30.34,FastTapIn,3.379997,0.2093726,7.900479, ,0
13837,94,30.36,FastTapIn,3.399997,0.1650322,-2.21702, ,0
13838,94,30.38,FastTapIn,3.419997,0.5434095,18.91886, ,0
13839,94,30.4,FastTapIn,3.439997,0.6328981,4.474432, ,0
14008,95,34.54,FastTapIn,3.359998,0.3776705,16.15888, ,0
14009,95,34.56,FastTapIn,3.379997,0.4032623,1.279591, ,0
14010,95,34.58,FastTapIn,3.399997,0.6190516,10.78946, ,0
14181,96,39.46,FastTapIn,3.399997,0.4034738,16.23586, ,0
14182,96,39.48,FastTapIn,3.419997,0.2642683,-6.960271, ,0
14183,96,39.5,FastTapIn,3.439997,0.5361302,13.5931, ,0
14184,96,39.52,FastTapIn,3.459997,0.3074844,-11.43229, ,0
14358,97,44.02,FastTapIn,3.459997,0.3330422,8.171243, ,0
14359,97,44.04,FastTapIn,3.479997,1.037834,35.2396, ,0
14536,98,48.56,FastTapIn,3.519997,0.3060392,10.02887, ,0
14537,98,48.58,FastTapIn,3.539997,0.1546553,-7.569197, ,0
14538,98,48.6,FastTapIn,3.559997,0.1852892,1.531693, ,0
14539,98,48.62,FastTapIn,3.579997,0.311787,6.324891, ,0
14540,98,48.64,FastTapIn,3.599997,0.1731635,-6.931173, ,0
14541,98,48.66,FastTapIn,3.619997,0.33735,8.209322, ,0
14542,98,48.68,FastTapIn,3.639997,0.1925025,-7.242372, ,0
14736,100,60.06,FastTapIn,3.399997,0.2503549,9.882169, ,0
14737,100,60.08,FastTapIn,3.419997,0.2541238,0.1884446, ,0
14738,100,60.1,FastTapIn,3.439997,0.277739,1.180758, ,0
14739,100,60.12,FastTapIn,3.459997,0.6237742,17.30176, ,0
14740,100,60.14,FastTapIn,3.479997,0.394552,-11.46111, ,0
14912,101,65.8,FastTapIn,3.419997,0.152485,6.473569, ,0
14913,101,65.82,FastTapIn,3.439997,0.146669,-0.2908014, ,0
14914,101,65.84,FastTapIn,3.459997,0.4265798,13.99554, ,0
14915,101,65.86,FastTapIn,3.479997,0.1776696,-12.44551, ,0
15088,102,71.2,FastTapIn,3.439997,0.2448238,7.8046, ,0
15089,102,71.22,FastTapIn,3.459997,0.141026,-5.189889, ,0
15090,102,71.24,FastTapIn,3.479997,0.4037115,13.13428, ,0
15091,102,71.26,FastTapIn,3.499997,0.2314323,-8.61396, ,0
15092,102,71.28,FastTapIn,3.519997,0.311078,3.982285, ,0
15267,103,76.7,FastTapIn,3.479997,0.2661954,9.250873, ,0
15442,104,82.2,FastTapIn,3.479997,0.2665295,9.491591, ,0
15780,107,93.98,FastTapIn,3.659997,0.2784056,8.588913, ,0
15781,107,94.0,FastTapIn,3.679997,0.1490862,-6.465968, ,0
15965,108,100.7,FastTapIn,3.659997,0.1641998,5.30838, ,0
15966,108,100.72,FastTapIn,3.679997,0.1185482,-2.282579, ,0
15967,108,100.74,FastTapIn,3.699997,0.1501277,1.578974, ,0
16332,110,112.48,FastTapIn,3.779997,0.1854473,7.1731, ,0
16333,110,112.5,FastTapIn,3.799997,0.1199027,-3.277228, ,0
16912,120,131.76,FastTapIn,3.979997,0.4295962,15.47938, ,0
16913,120,131.78,FastTapIn,3.999997,0.1931687,-11.82137, ,0
16914,120,131.8,FastTapIn,4.019997,0.1962789,0.1555078, ,0
16915,120,131.82,FastTapIn,4.039997,0.5558339,17.97775, ,0
16916,120,131.84,FastTapIn,4.059997,0.2615141,-14.71599, ,0
17115,121,33.0,FastTapIn,3.959997,0.2777795,7.740778, ,0
17116,121,33.02,FastTapIn,3.979997,0.1995685,-3.910551, ,0
17117,121,33.04,FastTapIn,3.999997,0.5411163,17.07739, ,0
17296,122,38.82,FastTapIn,3.559997,0.2937039,11.6523, ,0
17297,122,38.84,FastTapIn,3.579997,0.208616,-4.254398, ,0
17475,123,44.0,FastTapIn,3.539997,0.2009088,5.771694, ,0
17476,123,44.02,FastTapIn,3.559997,0.1713965,-1.475617, ,0
17653,124,52.84,FastTapIn,3.519997,0.2647742,9.14957, ,0
17829,125,58.56,FastTapIn,3.499997,0.2638884,10.39097, ,0
18000,126,65.06,FastTapIn,3.399997,0.2882769,11.90482, ,0
18001,126,65.08,FastTapIn,3.419997,0.2176284,-3.532428, ,0
18002,126,65.1,FastTapIn,3.439997,0.2585872,2.04794, ,0
18177,127,70.3,FastTapIn,3.479997,0.3613679,18.06839, ,0
18178,127,70.32,FastTapIn,3.499997,0.2827005,-3.933367, ,0
18179,127,70.34,FastTapIn,3.519997,0.6956765,20.6488, ,0
18347,128,74.74,FastTapIn,3.339998,0.322861,13.64571, ,0
18519,129,79.22,FastTapIn,3.419997,0.1415483,5.166477, ,0
18520,129,79.24,FastTapIn,3.439997,0.1051262,-1.821102, ,0
18521,129,79.25999,FastTapIn,3.459997,0.1240143,0.9444051, ,0
18707,130,84.12,FastTapIn,3.699997,0.5467655,19.47993, ,0
18708,130,84.14,FastTapIn,3.719997,0.4536169,-4.65743, ,0
18887,131,16.5,FastTapIn,3.559997,0.3292907,11.04838, ,0
18888,131,16.52,FastTapIn,3.579997,0.2377608,-4.576495, ,0
19063,132,21.94,FastTapIn,3.479997,0.2106471,7.675592, ,0
19064,132,21.96,FastTapIn,3.499997,0.1696301,-2.050848, ,0
19065,132,21.98,FastTapIn,3.519997,0.2222693,2.631958, ,0
19066,132,22.0,FastTapIn,3.539997,0.5099527,14.38417, ,0
19242,133,27.04,FastTapIn,3.499997,0.1439891,5.044327, ,0
19243,133,27.06,FastTapIn,3.519997,0.1108812,-1.655391, ,0
19244,133,27.08,FastTapIn,3.539997,0.2955471,9.233292, ,0
19245,133,27.1,FastTapIn,3.559997,0.2382172,-2.866492, ,0
19424,134,32.48,FastTapIn,3.559997,0.227071,6.63778, ,0
19425,134,32.5,FastTapIn,3.579997,0.1652911,-3.088994, ,0
19426,134,32.52,FastTapIn,3.599997,0.2403645,3.753669, ,0
19427,134,32.54,FastTapIn,3.619997,0.631741,19.56883, ,0
19608,135,37.84,FastTapIn,3.599997,0.3615513,12.56002, ,0
19609,135,37.86,FastTapIn,3.619997,0.252393,-5.457917, ,0
19610,135,37.88,FastTapIn,3.639997,0.2812367,1.442185, ,0
