Case,X,Y,Z,a,v,modeSelected,area_type,index,is_triggered,,,,,
50,0.2375065,1.100437,0.5065475,0.2561687,0.06742544,Tap,4,-1,-0.01804369,1.116031,-0.02043915,-0.07809308,0.04093714,-0.01267963
50,0.2361028,1.100948,0.5065513,0.3633406,0.07469225,Tap,4,-1,-0.01996206,1.116157,-0.02074099,-0.08002928,0.02928298,-0.01259522
50,0.2340775,1.101262,0.505126,2.50643,0.1248209,Tap,4,-1,-0.02185169,1.116078,-0.02120256,-0.07991488,0.01862338,-0.01145907
50,0.2325169,1.102096,0.5048537,-1.766183,0.08949719,Tap,4,-1,-0.02507855,1.116231,-0.02192736,-0.07792248,-0.000344649,-0.007443706
50,0.2256419,1.102194,0.505435,12.77563,0.3450098,Tap,4,-1,-0.02798002,1.11606,-0.02237749,-0.07574882,-0.01371273,-0.004422386
50,0.2152309,1.105438,0.5032024,10.57641,0.556538,Tap,3,-1,-0.02933565,1.11606,-0.02259302,-0.07528305,-0.02061999,-0.002791803
50,0.204672,1.108643,0.4989486,1.738647,0.5913109,Tap,3,-1,-0.03062786,1.11624,-0.02283573,-0.07490576,-0.02607222,-0.001407789
50,0.1940637,1.11394,0.495676,1.185438,0.6150197,Tap,3,-1,-0.03305186,1.11605,-0.02326155,-0.07449865,-0.03656279,0.000867606
50,0.1747214,1.123351,0.4935946,23.27641,1.080548,Tap,3,-1,-0.03419269,1.115837,-0.02344179,-0.07383924,-0.04130929,0.002051083
50,0.1660575,1.125444,0.4927821,-31.65191,0.4475097,Tap,3,-1,-0.03499092,1.115738,-0.02369881,-0.07211062,-0.04339149,0.002790391
50,0.1502386,1.132141,0.4847941,24.98515,0.9472128,Tap,3,-1,-0.03698177,1.115521,-0.02416372,-0.07048392,-0.05194207,0.004315953
50,0.1312799,1.136931,0.4727077,10.11021,1.149417,Tap,3,-1,-0.03846648,1.115492,-0.02445126,-0.06956597,-0.05698042,0.003159431
50,0.0892243,1.144593,0.461534,52.98909,2.209199,Tap,3,-1,-0.03912666,1.115503,-0.02471876,-0.06881443,-0.05899835,0.002225354
50,0.07228529,1.149303,0.4566159,-64.81858,0.9128272,Tap,2,17,-0.03970384,1.115368,-0.02494144,-0.06824637,-0.06100488,0.002095267
50,0.05800151,1.152314,0.4516106,-7.061213,0.7716029,Tap,5,17,-0.04094134,1.115183,-0.02524233,-0.06675902,-0.06396288,-4.24E-05
50,0.02726444,1.157804,0.438313,46.26289,1.696861,Tap,5,17,-0.04152603,1.115058,-0.02534914,-0.06578399,-0.06557175,-0.001063021
